bauwerksnummer,teilbauwerk,bauwerksname,ort,strasse_oben_uef,strasse_unten_uf,von_nk,nach_nk
5716614,0,UF Niedgesbach,Finsterthal,K 750,,5716006O,5616043O
6118548,0,UEF K 128,bei Gundernhausen,K 128,B 26,6118050O,6118024O
5616515,2,UF Sattelbach/i.Z.d. K739 von Gemünden nach Grävenwiesbach,Niederlauken,K 739,,5616018O,5616031O
4625656,0,UF Bach bei Werleshausen,Werleshausen,K 67,,4625062O,4625063O
4625655,0,UF Bach bei Werleshausen,Werleshausen,K 67,,4625062O,4625063O
5914520,0,UF Wallufbach,in Niederwalluf,K 638,,5914033O,5915102O
4623683,0,UF Osterbach,in Knickhagen,K 40,,4623335O,4523203O
5219517,0,Ohmbruecke bei Schweinsberg,Schweinsberg,K 24,,5219037O,5219040C
5324534,0,UF Flutgraben,Nüst,K 12,,5324012O,5324021O
4918509,0,UEF Gemeindestraße (Bahnhofstraße),Allendorf (Eder)/Rennerthausen,,,G,B253
5916506,0,UF WICKERBACH,Wicker,B 40,5916097O,5916060O,"7,5"
4625671,0,UF Fußweg in Witzenhausen,Witzenhausen,B 451,Geh- und Radweg 4625068O,4625094A,12
4625630,A+B+C,UF Werra in Witzenhausen,Witzenhausen,B 451,4625068O,4625094A,12
6317629,0,UF STADTBACH,Heppenheim,B 460,6317063O,6318066O,40 *)
5124528,0,UF Kreisbahn und Solz bei Malkomes,Malkomes,B 62,5124024O,5125042O,"3,5"
5515548,A+B+C,UF Lahn u. DB,Gräveneck,L 3452,5515042O,5515043O,9
5514534,0,UF Emsbach,Eschhofen,L 3448,5614020O,5514046O,9
5514535,0,UF Lahn,Dehrn,L 3448,5614020O,5514046O,16
5424562,0,UF Haune,Margretenhaun,L 3429,5424087O,5424098O,12
6418741,0,UF LIEBERSBACH IN BIRKENAU/UF LIEBERSBACH,69488 Birkenau,L 3408,6418017O,6418215O,11
5616513,0,UF Wiesbach,Mönstadt,L 3375,5616003O,5616004O,16
5714510,0,UF Aarbach,in Michelbach,L 3373,5814043A,5714007O,30
4926508,0,UF des Nessebach bei Wommen,Wommen,L 3251,4926001O,4926002O,12
4523713,0,UF Mühlbach,in Wilhelmshausen,L 3233,4523203O,24 *),10
4822523,0,UF Eder,in Altenbrunslar,L 3222,4822032O,4822022O,18
4822524,0,UF Flutgraben,in Altenbrunslar,L 3222,4822032O,4822022O,18
4722552,0,Längsverdolung des Pilgerbaches i.Z. der L 3221/UF Pilgerbach,in Grifte,L 3221,4722008O,4722085O,"3,5"
4621537,1,UF Warme,in Zierenberg,L 3214,4621045O,4621053O,13
5623507,0,UF RAMHOLZBACH in Vollmerz/UF RAMHOLZBACH,Schlüchtern/Vollmerz,L 3207,5623009O,5623013O,16
5119506,0,Muehlgrabenbruecke bei Rauschenberg,Rauschenberg,L 3077,5119014O,5119043O,11 *)
5021557,0,UF Schlierbach,in Schlierbach,L 3067,5021015O,5021039O,6
5414510,0,UF Elbbach,Dorchheim,L 3046,5414030O,5414036O,16
5514557,0,UF Steinbach,Heuchelheim,L 3046,5414036O,5514076A,18
5415536,0,UF Kallenbach,Obershausen,L 3044,5415023O,5415016O,16
5415512,C,UF Leyenbach,Odersberg,L 3044,5415006O,5315049O,16
5816557,0,UF Dattenbach,Ehlhalten,L 3027,5816072O,5816032O,16
5514526,0,UF Tiefenbach,Niedertiefenbach,L 3022,5514043O,5514038O,16
5514524,0,UF Lahn,Runkel,L 3020,5514078O,5514083O,"3,5"
5816528,0,UF Dattenbach,Ehlhalten,L 3011,5816033O,12,110kN
5623533,B,UF DEUTSCHE BUNDESBAHN bei Drasenberg/UF DEUTSCHE BUNDESBAHN,Schlüchtern/Drasenberg,K 928,5623058O,5623034O,"3,5"
5821501,1+2,UF LOCHGRABEN bei Lützelhausen/UF LOCHGRABEN,Linsengericht/Lützelhausen,K 897,5821015O,5821016O,16
5616531,0,UF Taunusbahn,Hundstadt,K 760,5616012O,5616010O,16
4926581,0,UF Breitzbach in Breitzbach,Breitzbach,K 76,4926033O,4926034O,30
5616517,2+4,UF Steinkratzbach (Steinkerzbach)/(Alt),Naunstadt,K 759,5616011O,5616012O,9
5616526,0,UF Weil,Altweilnau (Landsteiner Mühle),K 750,5716006O,5616043O,16
5616520,0,UF Weil,Emmershausen,K 739,5616019O,5616018O,16
5315527,0,UF Muehlbach,Gusternhain,K 72,5315021O,5315029O,3
5221544,0,UF Erlenbach,Schwabenrod,K 68,5221031O,5221030O,11
5814528,0,UF Aarbach,bei Hettenhain,K 663,5814049B,5814047O,"3,5"
6318710,0,UNTERKELLERUNG,in Ober-Hambach,K 57,6317062O,6318081O,16
4925546,0,UF Sontra bei Rockensüß/UF Sontra,Rockensüß,K 50,4925022O,4925006O,16
5124539,0,UF Fuß- und Radweg bei Schenksolz,Schenksolz,K5,Geh- und Radweg 5124047O,5124048O,16
4826559,0,UF des Schlierbaches bei Völkershausen,Völkershausen,K 49,4826009O,4826013O,16
5217519,0,Krebsbachbruecke bei Altenvers,Altenvers,K 48,5217043O,5217032O,10
5115765,0,UF Dill,Dillbrecht,K 47,5115254O,5115253O,9
4725569,0,UF Berka bei Wellingerode,Wellingerode,K 38,4725003O,4725015O,16
5517503,0,UF KLEEBACH bei Ebergöns/UF KLEEBACH,Butzbach/Ebergöns,K 364,5517014O,5517013O,"3,5"
4825550,A,UF Schweinsbach in Eltmannshausen,Eltmannshausen,K 34,4825025O,4825019A,"4,5"
5219512,0,Hist. Ohmbrücke bei Amoeneburg(Kulturdenkmal),Amöneburg,K 29,5219032O,5219035O,"2,8"
6318761,0,UF-WESCHNITZ,in Rimbach,K 24,6318100O,6318101O,16
5519509,0,UF Rodheimer Bach,Rodheim,K 188,5519048O,5519038O,12
5619505,0,UF BACH in Weckesheim/UF BACH,Reichelsheim/Weckesheim,K 179,5619002O,5619001A,"3,5"
5419537,0,UF Graben,Queckborn,K 150,5419006O,5419032O,16
5419529,0,UF Wetter,Wetterfeld,K 146,5419022O,5419035O,16
5321527,0,UF Katharinenbach,Köddingen,K 129,5321010O,5321011O,16
4826550,0,UF Flutgraben bei Frieda,Frieda,K 12,4826016O,4826035O,18
4826551,0,UF Werra bei Frieda,Frieda,K 12,4826016O,4826035O,12
4917613,0,UF Eder bei Battenfeld/Ederbrücke,Battenfeld,K 119,4917105O,4917122C,16
5121508,0,UF Schwalm,bei Heidelbach,K 115,5121006O,5121007O,6
4917603,0,UF Flutgraben bei Reddighausen/Flutgrabenbrücke,Reddighausen,K 115,4917111O,4917109O,16
5421517,0,UF Lauter,Hopfmannsfeld,K 112,5421014O,5321029O,11
5717708,0,UEF Gemeindestraße -Jacob Lengfelder Str-,Bad Homburg,,,Jakob-Lengfelder-Straße L 3003,30 *)
5813592,0,UF Wisper,Heidenrod / Geroldstein,,,Dickschieder Weg,16
